,10K,10Q,8K,cik,exchanges,firm_name,fiscal_end,sic_code,sic_description,tickers
76,1.0,1.0,1.0,0001099234,['OTC'],"InCapta, Inc.",1231,7841,Services-Video Tape Rental,['INCT']
77,1.0,1.0,1.0,0001485029,[''],"New Asia Holdings, Inc.",1231,3949,"Sporting & Athletic Goods, NEC",['NAHD']
78,1.0,1.0,1.0,0001580149,['Nasdaq'],BIOVIE INC.,0630,2834,Pharmaceutical Preparations,['BIVI']
79,1.0,1.0,1.0,0001639327,['OTC'],"Gushen, Inc",0930,7363,Services-Help Supply Services,['GSHN']
80,1.0,1.0,1.0,0001630805,"['NYSE', 'NYSE', 'NYSE', 'NYSE']","Babcock & Wilcox Enterprises, Inc.",1231,3433,"Heating Equipment, Except Electric & Warm Air Furnaces","['BW', 'BWNB', 'BW-PA', 'BWSN']"
81,1.0,1.0,1.0,0001360214,"['Nasdaq', 'Nasdaq']","HARROW HEALTH, INC.",1231,2834,Pharmaceutical Preparations,"['HROW', 'HROWL']"
82,0.0,0.0,0.0,0000929058,"['OTC', 'OTC']",HUANENG POWER INTERNATIONAL INC,1231,4911,Electric Services,"['HUNGF', 'HNPIY']"
83,0.0,0.0,0.0,0001840748,['Nasdaq'],LAVA Therapeutics NV,1231,2834,Pharmaceutical Preparations,['LVTX']
84,0.0,0.0,0.0,0001178840,['NYSE'],NEUBERGER BERMAN CALIFORNIA MUNICIPAL FUND INC.,1031,,,['NBW']
85,1.0,1.0,1.0,0001847577,"['NYSE', 'NYSE']",Learn CW Investment Corp,1231,6770,Blank Checks,"['LCW', 'LCW-WT']"
86,1.0,1.0,1.0,0001717547,['NYSE'],"BrightSpire Capital, Inc.",1231,6798,Real Estate Investment Trusts,['BRSP']
87,1.0,1.0,1.0,0001164863,['NYSE'],"ENPRO INDUSTRIES, INC",1231,3050,"Gaskets, Packg & Sealg Devices & Rubber & Plastics Hose",['NPO']
88,0.0,0.0,1.0,0000826020,['NYSE'],Saba Capital Income & Opportunities Fund,0228,,,['BRW']
89,0.0,0.0,0.0,0001725123,['NYSE'],Cango Inc.,1231,7372,Services-Prepackaged Software,['CANG']
90,1.0,1.0,1.0,0001289945,['Nasdaq'],"Spok Holdings, Inc",1231,4812,Radiotelephone Communications,['SPOK']
91,1.0,1.0,1.0,0001560258,['Nasdaq'],"electroCore, Inc.",1231,3845,Electromedical & Electrotherapeutic Apparatus,['ECOR']
92,1.0,1.0,1.0,0001853021,"['NYSE', 'NYSE']",Metals Acquisition Corp,1231,6770,Blank Checks,"['MTAL', 'MTAL-WT']"
93,1.0,1.0,1.0,0001144169,['OTC'],"ECO INNOVATION GROUP, INC.",1231,3690,"Miscellaneous Electrical Machinery, Equipment & Supplies",['ECOX']
94,1.0,1.0,1.0,0001527383,['OTC'],BankGuam Holding Co,1231,6029,"Commercial Banks, NEC",['BKGM']
95,1.0,1.0,1.0,0000009326,['Nasdaq'],BALCHEM CORP,1231,2800,Chemicals & Allied Products,['BCPC']
96,1.0,1.0,1.0,0001823323,"['Nasdaq', 'Nasdaq']",KL Acquisition Corp,1231,6770,Blank Checks,"['KLAQ', 'KLAQW']"
97,1.0,1.0,1.0,0001795139,['OTC'],Green Thumb Industries Inc.,,0100,Agricultural Production-Crops,['GTBIF']
98,1.0,1.0,1.0,0001801602,"['Nasdaq', 'Nasdaq']","SpringBig Holdings, Inc.",1231,7371,Services-Computer Programming Services,"['SBIG', 'SBIGW']"
99,0.0,0.0,0.0,0001070304,"['NYSE', 'OTC']",ORIX CORP,0331,6159,Miscellaneous Business Credit Institution,"['IX', 'ORXCF']"
100,1.0,1.0,1.0,0001364742,['NYSE'],BlackRock Inc.,1231,6211,"Security Brokers, Dealers & Flotation Companies",['BLK']
101,1.0,1.0,1.0,0001396878,['NYSE'],"United States Gasoline Fund, LP",1231,6221,Commodity Contracts Brokers & Dealers,['UGA']
102,0.0,0.0,0.0,0001879560,[''],Dynasty Financial Partners Inc.,1231,6282,Investment Advice,['DSTY']
103,0.0,0.0,0.0,0001577437,['NYSE'],Ardmore Shipping Corp,1231,4412,Deep Sea Foreign Transportation of  Freight,['ASC']
104,1.0,1.0,1.0,0001177609,['Nasdaq'],"FIVE BELOW, INC",0128,5331,Retail-Variety Stores,['FIVE']
105,1.0,1.0,1.0,0001833909,"['NYSE', 'NYSE', 'NYSE']",African Gold Acquisition Corp,1231,6770,Blank Checks,"['AGAC', 'AGAC-UN', 'AGAC-WT']"
106,1.0,1.0,1.0,0001673358,['NYSE'],"Yum China Holdings, Inc.",1231,5812,Retail-Eating  Places,['YUMC']
107,1.0,1.0,1.0,0001846809,"['Nasdaq', 'Nasdaq']",OceanTech Acquisitions I Corp.,1231,6770,Blank Checks,"['OTEC', 'OTECW']"
108,0.0,0.0,0.0,0001641229,['OTC'],First Mining Gold Corp.,1231,1040,Gold and Silver Ores,['FFMGF']
109,1.0,1.0,1.0,0001876945,"['OTC', 'OTC']",TPCO Holding Corp.,1231,0100,Agricultural Production-Crops,"['GRAMF', 'GRMWF']"
110,0.0,0.0,0.0,0001771007,['Nasdaq'],Afya Ltd,1231,8200,Services-Educational Services,['AFYA']
111,1.0,1.0,1.0,0000108985,['Nasdaq'],YORK WATER CO,1231,4941,Water Supply,['YORW']
112,1.0,1.0,1.0,0001017110,['OTC'],GENETHERA INC,1231,2836,"Biological Products, (No Diagnostic Substances)",['GTHR']
113,1.0,1.0,1.0,0000060086,['NYSE'],LOEWS CORP,1231,6331,"Fire, Marine & Casualty Insurance",['L']
114,1.0,1.0,1.0,0001034670,['NYSE'],AUTOLIV INC,1231,3714,Motor Vehicle Parts & Accessories,['ALV']
115,1.0,1.0,1.0,0001552000,['NYSE'],MPLX LP,1231,4610,Pipe Lines (No Natural Gas),['MPLX']
116,1.0,1.0,1.0,0000792987,['Nasdaq'],ASTEC INDUSTRIES INC,1231,3531,Construction Machinery & Equip,['ASTE']
117,1.0,1.0,1.0,0001443089,['OTC'],"WEARABLE HEALTH SOLUTIONS, INC.",0630,3669,"Communications Equipment, NEC",['WHSI']
118,1.0,1.0,1.0,0001301838,['OTC'],"Premier Product Group, Inc.",1231,1400,Mining & Quarrying of  Nonmetallic Minerals (No Fuels),['PMPG']
119,1.0,1.0,1.0,0001423221,['NYSE'],Quanex Building Products CORP,1031,3350,Rolling Drawing & Extruding of  Nonferrous Metals,['NX']
120,1.0,1.0,1.0,0001277575,['OTC'],SAXON CAPITAL GROUP INC,1231,1311,Crude Petroleum & Natural Gas,['SCGX']
121,1.0,1.0,1.0,0001896212,"['Nasdaq', 'Nasdaq']",Murphy Canyon Acquisition Corp.,1231,6770,Blank Checks,"['MURF', 'MURFW']"
122,1.0,1.0,1.0,0001278680,['NYSE'],ISHARES GOLD TRUST,1231,6221,Commodity Contracts Brokers & Dealers,['IAU']
123,1.0,1.0,1.0,0001040161,['Nasdaq'],"PIXELWORKS, INC",1231,3674,Semiconductors & Related Devices,['PXLW']
124,1.0,1.0,1.0,0001840877,"['Nasdaq', 'Nasdaq', 'Nasdaq']",Anzu Special Acquisition Corp I,,6770,Blank Checks,"['ANZU', 'ANZUW', 'ANZUU']"
125,1.0,1.0,1.0,0001116463,['Nasdaq'],ORASURE TECHNOLOGIES INC,1231,3841,Surgical & Medical Instruments & Apparatus,['OSUR']
126,1.0,1.0,1.0,0000934543,['OTC'],AMERICAN CHURCH MORTGAGE CO,1219,6500,Real Estate,['ACMC']
127,1.0,1.0,1.0,0001806201,['Nasdaq'],Open Lending Corp,1231,6141,Personal Credit Institutions,['LPRO']
128,1.0,1.0,1.0,0001074828,['NYSE'],"KNOW LABS, INC.",0930,3829,"Measuring & Controlling Devices, NEC",['KNW']
129,1.0,1.0,1.0,0001389518,['OTC'],"Clubhouse Media Group, Inc.",1231,7900,Services-Amusement & Recreation Services,['CMGR']
130,1.0,1.0,1.0,0000943184,['Nasdaq'],"Ever-Glory International Group, Inc.",1231,2300,Apparel & Other Finishd Prods of  Fabrics & Similar Matl,['EVK']
131,1.0,1.0,1.0,0001419275,['Nasdaq'],RYVYL Inc.,1231,8742,Services-Management Consulting Services,['GBOX']
132,1.0,1.0,1.0,0001159167,['Nasdaq'],IROBOT CORP,1228,3630,Household Appliances,['IRBT']
133,1.0,1.0,1.0,0001737372,['OTC'],"Sysorex, Inc.",1231,7371,Services-Computer Programming Services,['SYSX']
134,1.0,1.0,1.0,0001136893,['NYSE'],"Fidelity National Information Services, Inc.",1231,7389,"Services-Business Services, NEC",['FIS']
135,1.0,1.0,1.0,0000029905,['NYSE'],DOVER Corp,1231,3530,"Construction, Mining & Materials Handling Machinery & Equip",['DOV']
136,1.0,1.0,1.0,0001796129,"['Nasdaq', 'Nasdaq']","Vincerx Pharma, Inc.",1231,2834,Pharmaceutical Preparations,"['VINC', 'VINCU']"
137,1.0,1.0,1.0,0000727273,['Nasdaq'],CADIZ INC,1231,4941,Water Supply,['CDZI']
138,1.0,1.0,1.0,0001844971,"['Nasdaq', 'Nasdaq']",Greenidge Generation Holdings Inc.,1231,7374,Services-Computer Processing & Data Preparation,"['GREE', 'GREEL']"
139,0.0,0.0,0.0,0001276671,['NYSE'],CORPBANCA/FI,1231,6029,"Commercial Banks, NEC",['ITCB']
140,1.0,1.0,1.0,0000049754,['NYSE'],"Dine Brands Global, Inc.",1231,5812,Retail-Eating  Places,['DIN']
141,1.0,1.0,1.0,0001657312,['Nasdaq'],Verona Pharma plc,1231,2834,Pharmaceutical Preparations,['VRNA']
142,1.0,1.0,1.0,0000025475,"['NYSE', 'NYSE']",CRAWFORD & CO,1231,6411,"Insurance Agents, Brokers & Service","['CRD-A', 'CRD-B']"
143,1.0,1.0,1.0,0001570937,['OTC'],ALTAIR INTERNATIONAL CORP.,0331,3841,Surgical & Medical Instruments & Apparatus,['ATAO']
144,1.0,1.0,1.0,0000076282,['Nasdaq'],PARK OHIO HOLDINGS CORP,1231,3460,Metal Forgings & Stampings,['PKOH']
145,1.0,1.0,1.0,0000004447,['NYSE'],HESS CORP,1231,2911,Petroleum Refining,['HES']
146,1.0,1.0,1.0,0001158449,['NYSE'],ADVANCE AUTO PARTS INC,1231,5531,Retail-Auto & Home Supply Stores,['AAP']
147,1.0,1.0,1.0,0001667161,['Nasdaq'],"Randolph Bancorp, Inc.",1231,6022,State Commercial Banks,['RNDB']
148,1.0,1.0,1.0,0001593773,['OTC'],KANGE CORP,1130,7371,Services-Computer Programming Services,['KGNR']
149,1.0,1.0,1.0,0001327273,['Nasdaq'],"Lyra Therapeutics, Inc.",1231,3841,Surgical & Medical Instruments & Apparatus,['LYRA']
150,1.0,1.0,1.0,0001042776,['NYSE'],"Piedmont Office Realty Trust, Inc.",1231,6512,Opeators of  Nonresidential Buildings,['PDM']
151,1.0,1.0,1.0,0001095651,"['NYSE', 'NYSE', 'NYSE', 'NYSE']",ISTAR INC.,1231,6798,Real Estate Investment Trusts,"['STAR', 'STAR-PG', 'STAR-PD', 'STAR-PI']"
152,1.0,1.0,1.0,0001041859,['Nasdaq'],"Childrens Place, Inc.",0201,5651,Retail-Family Clothing Stores,['PLCE']
153,1.0,1.0,1.0,0000880117,['Nasdaq'],SANFILIPPO JOHN B & SON INC,0628,2060,Sugar & Confectionery Products,['JBSS']
154,1.0,1.0,1.0,0001037676,['NYSE'],"ARCH RESOURCES, INC.",1231,1221,Bituminous Coal & Lignite Surface Mining,['ARCH']
155,1.0,1.0,1.0,0000049938,['NYSE'],IMPERIAL OIL LTD,1231,2911,Petroleum Refining,['IMO']
156,1.0,1.0,1.0,0001287808,['NYSE'],"Hill International, Inc.",1231,8711,Services-Engineering Services,['HIL']
157,1.0,1.0,1.0,0001810140,"['NYSE', 'NYSE']",Polished.com Inc.,1231,5700,"Retail-Home Furniture, Furnishings & Equipment Stores","['POL', 'POL-WT']"
158,1.0,1.0,1.0,0000893691,['NYSE'],MASONITE INTERNATIONAL CORP,0101,2430,"Millwood, Veneer, Plywood, & Structural Wood Members",['DOOR']
159,1.0,0.0,1.0,0001875943,"['Nasdaq', 'Nasdaq', 'Nasdaq']",VMG Consumer Acquisition Corp.,0930,6770,Blank Checks,"['VMGA', 'VMGAU', 'VMGAW']"
160,1.0,1.0,1.0,0000896493,"['NYSE', 'NYSE']","BitNile Holdings, Inc.",1231,3679,"Electronic Components, NEC","['NILE', 'NILE-PD']"
161,1.0,1.0,1.0,0001577134,['NYSE'],"Terra Income Fund 6, LLC",1231,,,['TFSA']
162,0.0,0.0,0.0,0001264089,['NYSE'],YAMANA GOLD INC.,1231,1040,Gold and Silver Ores,['AUY']
163,0.0,0.0,0.0,0001816978,[''],Huarui International New Material Ltd,1231,3360,Nonferrous Foundries (Castings),['HRDG']
164,1.0,1.0,1.0,0001596967,['NYSE'],Moelis & Co,1231,6282,Investment Advice,['MC']
165,0.0,0.0,0.0,0001936255,[''],Four Leaf Acquisition Corp,1231,6770,Blank Checks,['FORL']
166,1.0,1.0,1.0,0001851909,"['Nasdaq', 'Nasdaq']",Compass Digital Acquisition Corp.,1231,6770,Blank Checks,"['CDAQ', 'CDAQW']"
167,1.0,1.0,1.0,0001846235,"['Nasdaq', 'Nasdaq', 'Nasdaq', 'Nasdaq']",International Media Acquisition Corp.,0331,6770,Blank Checks,"['IMAQ', 'IMAQW', 'IMAQR', 'IMAQU']"
168,1.0,1.0,1.0,0001349929,['Nasdaq'],"Vyant Bio, Inc.",1231,8071,Services-Medical Laboratories,['VYNT']
169,1.0,1.0,1.0,0001645155,['OTC'],Webstar Technology Group Inc.,1231,7372,Services-Prepackaged Software,['WBSR']
170,1.0,1.0,1.0,0001696898,[''],Chee Corp.,0131,3990,Miscellaneous Manufacturing Industries,['ECRP']
171,0.0,0.0,0.0,0001813783,['Nasdaq'],Vision Marine Technologies Inc.,,3730,Ship & Boat Building & Repairing,['VMAR']
172,0.0,0.0,1.0,0001547994,['NYSE'],Nuveen Preferred & Income Term Fund,,,,['JPI']
173,0.0,0.0,0.0,0001318025,['NYSE'],PIMCO Global StocksPLUS & Income Fund,0630,,,['PGP']
174,1.0,1.0,1.0,0001410384,['NYSE'],"Q2 Holdings, Inc.",1231,7372,Services-Prepackaged Software,['QTWO']
175,1.0,1.0,1.0,0001376339,['Nasdaq'],"MIMEDX GROUP, INC.",1231,3841,Surgical & Medical Instruments & Apparatus,['MDXG']
176,1.0,1.0,1.0,0001816581,"['NYSE', 'NYSE']","Ouster, Inc.",1231,3569,"General Industrial Machinery & Equipment, NEC","['OUST', 'OUST-WT']"
177,1.0,1.0,1.0,0001755237,['Nasdaq'],"Cyclerion Therapeutics, Inc.",1231,2834,Pharmaceutical Preparations,['CYCN']
178,1.0,1.0,1.0,0001001601,['OTC'],"MGT CAPITAL INVESTMENTS, INC.",1231,7374,Services-Computer Processing & Data Preparation,['MGTI']
179,1.0,1.0,1.0,0001140215,['Nasdaq'],"REED'S, INC.",1231,2086,Bottled & Canned Soft Drinks & Carbonated Waters,['REED']
180,0.0,0.0,0.0,0001114448,"['NYSE', 'OTC']",NOVARTIS AG,1231,2834,Pharmaceutical Preparations,"['NVS', 'NVSEF']"
181,1.0,1.0,1.0,0001508655,['NYSE'],"Sixth Street Specialty Lending, Inc.",1231,,,['TSLX']
182,1.0,1.0,1.0,0000769520,['Nasdaq'],MIDDLEBY Corp,1231,3580,Refrigeration & Service Industry Machinery,['MIDD']
183,1.0,1.0,1.0,0001340122,['Nasdaq'],"Calumet Specialty Products Partners, L.P.",1231,2911,Petroleum Refining,['CLMT']
184,1.0,1.0,1.0,0001023459,['Nasdaq'],"Simulations Plus, Inc.",0831,7373,Services-Computer Integrated Systems Design,['SLP']
185,1.0,1.0,1.0,0001820630,['Nasdaq'],Proterra Inc,1231,3711,Motor Vehicles & Passenger Car Bodies,['PTRA']
186,1.0,1.0,1.0,0000723733,['OTC'],"MULTI SOLUTIONS II, INC",0131,6770,Blank Checks,['MUSS']
187,1.0,1.0,1.0,0000354963,['Nasdaq'],SHENANDOAH TELECOMMUNICATIONS CO/VA/,1231,4813,Telephone Communications (No Radiotelephone),['SHEN']
188,1.0,1.0,1.0,0000722572,['Nasdaq'],FRANKLIN WIRELESS CORP,0630,3661,Telephone & Telegraph Apparatus,['FKWL']
189,1.0,1.0,1.0,0000811596,['Nasdaq'],KAISER ALUMINUM CORP,1231,3350,Rolling Drawing & Extruding of  Nonferrous Metals,['KALU']
190,1.0,1.0,1.0,0000883107,['OTC'],NANOPHASE TECHNOLOGIES Corp,1231,3390,Miscellaneous Primary Metal Products,['NANX']
191,1.0,1.0,1.0,0001571776,"['NYSE', 'NYSE', 'NYSE']",Cherry Hill Mortgage Investment Corp,1231,6798,Real Estate Investment Trusts,"['CHMI', 'CHMI-PB', 'CHMI-PA']"
192,0.0,0.0,0.0,0001499620,['NYSE'],TAL Education Group,,8200,Services-Educational Services,['TAL']
193,1.0,1.0,1.0,0001861795,['Nasdaq'],Definitive Healthcare Corp.,1231,7372,Services-Prepackaged Software,['DH']
