,index,Unnamed: 0,business_city,business_state,business_street1,business_street2,business_zip,cik,firm_name,mailing_city,mailing_state,mailing_street1,mailing_street2,mailing_zip
16,62,62,NEW YORK,NY,35TH STREET WEST 35TH,FLOOR 6,10001,1822359,DocGo Inc.,NEW YORK,NY,35TH STREET WEST 35TH,FLOOR 6,10001
18,69,69,LEBEC,CA,4436 LEBEC ROAD,PO BOX 1000,93243,96869,TEJON RANCH CO,LEBEC,CA,4436 LEBEC RD,PO BOX 1000,93243
19,73,73,OLDSMAR,FL,700 BROOKER CREEK BLVD,SUITE 1800,34677,862692,CRYO CELL INTERNATIONAL INC,OLDSMAR,FL,700 BROOKER CREEK BLVD,SUITE 1800,34677
20,75,75,CLAYTON,MO,OLIN CORPORATION,190 CARONDELET PLAZA SUITE 1530,63105,74303,OLIN Corp,CLAYTON,MO,OLIN CORPORATION,190 CARONDELET PLAZA SUITE 1530,63105
21,78,78,CARSON CITY,NV,680 W NYE LANE,SUITE 201,89703,1580149,BIOVIE INC.,CARSON CITY,NV,680 W NYE LANE,SUITE 201,89703
22,81,81,NASHVILLE,TN,102 WOODMONT BLVD,SUITE 610,37215,1360214,"HARROW HEALTH, INC.",NASHVILLE,TN,102 WOODMONT BLVD,SUITE 610,37215
23,85,85,LOS ANGELES,CA,11755 WILSHIRE BLVD.,SUITE 2320,90025,1847577,Learn CW Investment Corp,LOS ANGELES,CA,11755 WILSHIRE BLVD.,SUITE 2320,90025
24,86,86,NEW YORK,NY,590 MADISON AVENUE,33RD FLOOR,10022,1717547,"BrightSpire Capital, Inc.",NEW YORK,NY,590 MADISON AVENUE,33RD FLOOR,10022
25,87,87,CHARLOTTE,NC,5605 CARNEGIE BOULEVARD,SUITE 500,28209,1164863,"ENPRO INDUSTRIES, INC",CHARLOTTE,NC,5605 CARNEGIE BOULEVARD,SUITE 500,28209
26,90,90,ALEXANDRIA,VA,5911 KINGSTOWNE VILLAGE PARKWAY,6TH FLOOR,22315,1289945,"Spok Holdings, Inc",ALEXANDRIA,VA,5911 KINGSTOWNE VILLAGE PARKWAY,6TH FLOOR,22315
27,91,91,ROCKAWAY,NJ,200 FORGE WAY,SUITE 205,07866,1560258,"electroCore, Inc.",ROCKAWAY,NJ,200 FORGE WAY,SUITE 205,07866
28,96,96,NEW YORK,NY,111 WEST 33RD STREET,SUITE 1910,10120,1823323,KL Acquisition Corp,NEW YORK,NY,111 WEST 33RD STREET,SUITE 1910,10120
29,98,98,BOCA RATON,FL,621 NW 53RD ST,SUITE 260,33487,1801602,"SpringBig Holdings, Inc.",BOCA RATON,FL,621 NW 53RD ST,SUITE 260,33487
30,101,101,WALNUT CREEK,CA,1850 MT. DIABLO BLVD.,SUITE 640,94596,1396878,"United States Gasoline Fund, LP",WALNUT CREEK,CA,1850 MT. DIABLO BLVD.,SUITE 640,94596
31,104,104,PHILADELPHIA,PA,701 MARKET STREET,SUITE 300,19106,1177609,"FIVE BELOW, INC",PHILADELPHIA,PA,701 MARKET STREET,SUITE 300,19106
32,119,119,HOUSTON,TX,1800 WEST LOOP SOUTH,SUITE 1500,77027,1423221,Quanex Building Products CORP,HOUSTON,TX,1800 WEST LOOP SOUTH,SUITE 1500,77027
33,122,122,SAN FRANCISCO,CA,BLACKROCK INC.,400 HOWARD STREET,94105,1278680,ISHARES GOLD TRUST,SAN FRANCISCO,CA,BLACKROCK INC.,400 HOWARD STREET,94105
34,123,123,PORTLAND,OR,16760 SW UPPER BOONES FERRY RD.,SUITE 101,97224,1040161,"PIXELWORKS, INC",PORTLAND,OR,16760 SW UPPER BOONES FERRY RD.,SUITE 101,97224
35,124,124,TAMPA,FL,12610 RACE TRACK ROAD,SUITE 250,33626,1840877,Anzu Special Acquisition Corp I,TAMPA,FL,12610 RACE TRACK ROAD,SUITE 250,33626
36,127,127,AUSTIN,TX,1501 S. MOPAC EXPRESSWAY,SUITE #450,78746,1806201,Open Lending Corp,AUSTIN,TX,1501 S. MOPAC EXPRESSWAY,SUITE #450,78746
37,128,128,SEATTLE,WA,500 UNION STREET,SUITE 810,98101,1074828,"KNOW LABS, INC.",SEATTLE,WA,500 UNION STREET,SUITE 810,98101
39,135,135,DOWNERS GROVE,IL,3005 HIGHLAND PARKWAY,SUITE 200,60515,29905,DOVER Corp,DOWNERS GROVE,IL,3005 HIGHLAND PARKWAY,SUITE 200,60515
40,136,136,PALO ALTO,CA,260 SHERIDAN AVENUE,SUITE 400,94306,1796129,"Vincerx Pharma, Inc.",PALO ALTO,CA,260 SHERIDAN AVENUE,SUITE 400,94306
41,137,137,LOS ANGELES,CA,550 SOUTH HOPE STREET,SUITE 2850,90071,727273,CADIZ INC,LOS ANGELES,CA,550 SOUTH HOPE STREET,SUITE 2850,90071
42,138,138,FAIRFIELD,CT,135 RENNELL DRIVE,3RD FLOOR,06890,1844971,Greenidge Generation Holdings Inc.,FAIRFIELD,CT,135 RENNELL DRIVE,3RD FLOOR,06890
43,147,147,QUINCY,MA,2 BATTERYMARCH PARK,SUITE 301,02169,1667161,"Randolph Bancorp, Inc.",QUINCY,MA,2 BATTERYMARCH PARK,SUITE 301,02169
44,150,150,ATLANTA,GA,5565 GLENRIDGE CONNECTOR,STE 450,30342,1042776,"Piedmont Office Realty Trust, Inc.",ATLANTA,GA,5565 GLENRIDGE CONNECTOR,STE 450,30342
45,151,151,NEW YORK,NY,1114 AVENUE OF THE AMERICAS,39TH FLOOR,10036,1095651,ISTAR INC.,NEW YORK,NY,1114 AVENUE OF THE AMERICAS,39TH FLOOR,10036
46,154,154,ST LOUIS,MO,CITY PLACE ONE STE 300,ARCH MINERAL CORP,63141,1037676,"ARCH RESOURCES, INC.",CREVE COEUR,MO,CITYPLACE ONE SUITE 300,ARCH MINERAL CORP,63141
47,156,156,PHILADELPHIA,PA,ONE COMMERCE SQUARE,"2005 MARKET STREET, 17TH FLOOR",19103,1287808,"Hill International, Inc.",PHILADELPHIA,PA,ONE COMMERCE SQUARE,"2005 MARKET STREET, 17TH FLOOR",19103
48,159,159,SAN FRANCISCO,CA,39 MESA STREET,SUITE 310,94129,1875943,VMG Consumer Acquisition Corp.,SAN FRANCISCO,CA,39 MESA STREET,SUITE 310,94129
49,160,160,LAS VEGAS,NV,11411 SOUTHERN HIGHLANDS PARKWAY,SUITE 240,89141,896493,"BitNile Holdings, Inc.",LAS VEGAS,NV,11411 SOUTHERN HIGHLANDS PARKWAY,SUITE 240,89141
50,161,161,NEW YORK,NY,205 WEST 28TH STREET,12TH FLOOR,10001,1577134,"Terra Income Fund 6, LLC",NEW YORK,NY,205 WEST 28TH STREET,12TH FLOOR,10001
52,168,168,"CHERRY HILL,",NJ,2370 STATE ROUTE 70 WEST,SUITE 310,08002,1349929,"Vyant Bio, Inc.","CHERRY HILL,",NJ,2370 STATE ROUTE 70 WEST,SUITE 310,08002
53,183,183,INDIANAPOLIS,IN,2780 WATERFRONT,"PARKWAY E. DRIVE, SUITE 200",46214,1340122,"Calumet Specialty Products Partners, L.P.",INDIANAPOLIS,IN,2780 WATERFRONT,"PARKWAY E. DRIVE, SUITE 200",46214
54,191,191,FARMINGDALE,NJ,1451 ROUTE 34,SUITE 303,07727,1571776,Cherry Hill Mortgage Investment Corp,FARMINGDALE,NJ,1451 ROUTE 34,SUITE 303,07727
55,197,197,GREENWOOD VILLAGE,CO,7800 EAST ORCHARD ROAD,SUITE 300,80111,1475841,National Bank Holdings Corp,GREENWOOD VILLAGE,CO,7800 EAST ORCHARD ROAD,SUITE 300,80111
56,200,200,DALLAS,TX,300 CRESCENT COURT,SUITE 700,75201,1620393,"NexPoint Residential Trust, Inc.",DALLAS,TX,300 CRESCENT COURT,SUITE 700,75201
57,201,201,NEW YORK,NY,590 MADISON AVENUE,21ST FLOOR,10022,1599407,1847 Holdings LLC,NEW YORK,NY,590 MADISON AVENUE,21ST FLOOR,10022
58,204,204,DALLAS,TX,1909 WOODALL RODGERS FREEWAY,SUITE 500,75201,1851266,LF Capital Acquisition Corp. II,DALLAS,TX,1909 WOODALL RODGERS FREEWAY,SUITE 500,75201
59,205,205,AUSTIN,TX,4200 MARATHON BLVD.,SUITE 200,78756,1095981,"PLUS THERAPEUTICS, INC.",AUSTIN,TX,4200 MARATHON BLVD.,SUITE 200,78756
60,206,206,CANFIELD,OH,20 S BROAD STREET,P O BOX 555,44406,709337,FARMERS NATIONAL BANC CORP /OH/,CANFIELD,OH,20 S BROAD STREET,PO BOX 555,44406
61,207,207,WALTHAM,MA,1601 TRAPELO ROAD,SUITE 286,02451,1598646,"Minerva Neurosciences, Inc.",WALTHAM,MA,1601 TRAPELO ROAD,SUITE 286,02451
62,210,210,NEW YORK,NY,250 PARK AVENUE SOUTH,10TH FLOOR,10003,1432133,KALTURA INC,NEW YORK,NY,250 PARK AVENUE SOUTH,10TH FLOOR,10003
63,212,212,MIAMI BEACH,FL,1111 LINCOLN ROAD,SUITE 500,33139,1866816,OmniLit Acquisition Corp.,MIAMI BEACH,FL,1111 LINCOLN ROAD,SUITE 500,33139
64,214,214,HENDERSON,NV,10624 S. EASTERN AVE,SUITE A-614,89052,1386301,"Research Solutions, Inc.",HENDERSON,NV,10624 S. EASTERN AVE,SUITE A-614,89052
65,219,219,EAST AURORA,NY,130 COMMERCE WAY,-,14052-2191,8063,ASTRONICS CORP,EAST AURORA,NY,130 COMMERCE WAY,-,14052-2191
66,220,220,DENVER,CO,707 17TH STREET,SUITE 4200,80202,1421461,"Intrepid Potash, Inc.",DENVER,CO,707 17TH STREET,SUITE 4200,80202
67,223,223,NEW YORK,NY,1411 BROADWAY,34TH FLOOR,10018,775368,ALLEGHANY CORP /DE,NEW YORK,NY,1411 BROADWAY,34TH FLOOR,10018
68,230,230,HOUSTON,TX,811 MAIN STREET,SUITE 3400,77002,1136352,Crestwood Equity Partners LP,HOUSTON,TX,811 MAIN STREET,SUITE 3400,77002
69,231,231,BOISE,ID,"1111 WEST JEFFERSON STREET, SUITE 300",P. O. BOX 50,83702,1328581,BOISE CASCADE Co,BOISE,ID,"1111 WEST JEFFERSON STREET, SUITE 300",P. O. BOX 50,83702
71,233,233,SAN ANTONIO,TX,3611 PAESANOS PARKWAY,SUITE 300,78231,1088034,"Usio, Inc.",SAN ANTONIO,TX,3611 PAESANOS PARKWAY,SUITE 300,78231
72,238,238,CALABASAS,CA,23975 PARK SORRENTO,SUITE 250,91302,1039280,NETSOL TECHNOLOGIES INC,CALABASAS,CA,23975 PARK SORRENTO,SUITE 250,91302
73,254,254,MURRAY,UT,5282 SOUTH COMMERCE DRIVE,SUITE D292,84107,50471,PARK CITY GROUP INC,MURRAY,UT,5282 SOUTH COMMERCE DRIVE,SUITE D292,84107
74,258,258,EL SEGUNDO,CA,222 N. PACIFIC COAST HIGHWAY,SUITE 500,90245,40888,"AEROJET ROCKETDYNE HOLDINGS, INC.",EL SEGUNDO,CA,222 N. PACIFIC COAST HIGHWAY,SUITE 500,90245
75,262,262,SANDUSKY,OH,100 EAST WATER ST,P O BOX 5016,44870,944745,"CIVISTA BANCSHARES, INC.",SANDUSKY,OH,100 EAST WATER ST,P O BOX 5016,44870
76,266,266,NEW YORK,NY,1345 AVENUE OF THE AMERICAS,45TH FLOOR,10105,1590364,Fortress Transportation & Infrastructure Investors LLC,NEW YORK,NY,1345 AVENUE OF THE AMERICAS,45TH FLOOR,10105
77,274,274,PLANO,TX,5801 TENNYSON PARKWAY,SUITE 275,75024,1691936,"STRYVE FOODS, INC.",PLANO,TX,5801 TENNYSON PARKWAY,SUITE 275,75024
78,277,277,ATLANTA,GA,1500 RIVEREDGE PARKWAY,SUITE100,30328,1408075,GRAPHIC PACKAGING HOLDING CO,ATLANTA,GA,1500 RIVEREDGE PARKWAY,SUITE100,30328
79,279,279,MIAMI,FL,3655 N W 87TH AVE,PO BOX 1347,33178-2428,815097,CARNIVAL CORP,MIAMI,FL,3655 N W 87TH AVE,PO BOX 1347,33178
80,280,280,PALM BEACH,FL,139 NORTH COUNTY ROAD,"FLOOR 2, SUITE 35",33480,1841661,AF Acquisition Corp.,PALM BEACH,FL,139 NORTH COUNTY ROAD,"FLOOR 2, SUITE 35",33480
81,284,284,NEWTON,MA,ONE GATEWAY CENTER (300 WASHINGTON ST.),SUITE 356,02458,1069308,Acer Therapeutics Inc.,NEWTON,MA,ONE GATEWAY CENTER (300 WASHINGTON ST.),SUITE 356,02458
82,285,285,SAN FRANCISCO,CA,535 MISSION STREET,8TH FLOOR,94105,1475115,"Eventbrite, Inc.",SAN FRANCISCO,CA,535 MISSION STREET,8TH FLOOR,94105
83,289,289,CAMBRIDGE,MA,125 CAMBRIDGEPARK DRIVE,SUITE 301,02140,1854463,WinVest Acquisition Corp.,CAMBRIDGE,MA,125 CAMBRIDGEPARK DRIVE,SUITE 301,02140
84,293,293,CUPERTINO,CA,19925 STEVENS CREEK BLVD.,SUITE 100,95014,1742927,"REVIVA PHARMACEUTICALS HOLDINGS, INC.",CUPERTINO,CA,19925 STEVENS CREEK BLVD.,SUITE 100,95014
85,298,298,HOPKINS,MN,9350 EXCELSIOR BLVD.,SUITE 700,55343,854775,DIGI INTERNATIONAL INC,HOPKINS,MN,9350 EXCELSIOR BLVD.,SUITE 700,55343
86,315,315,Rockville,MD,One Church Street,Suite 300,20850,1419536,Capital Bancorp Inc,Rockville,MD,One Church Street,Suite 300,20850
88,328,328,BARTLETT,TN,3124 BROTHER BLVD,SUITE 104,38133,1392694,"SurgePays, Inc.",BARTLETT,TN,3124 BROTHER BLVD,SUITE 104,38133
89,333,333,COLORADO SPRINGS,CO,2424 GARDEN OF THE GODS ROAD,SUITE 300,80919,1601548,"V2X, Inc.",COLORADO SPRINGS,CO,2424 GARDEN OF THE GODS ROAD,SUITE 300,80919
90,344,344,PRINCETON,NJ,902 CARNEGIE CENTER BLVD.,SUITE 520,08540,1728951,"ESSENTIAL PROPERTIES REALTY TRUST, INC.",PRINCETON,NJ,902 CARNEGIE CENTER BLVD.,SUITE 520,08540
91,345,345,SAN DIEGO,CA,9540 TOWNE CENTRE DRIVE,SUITE 100,92121,1411690,"Bionano Genomics, Inc.",SAN DIEGO,CA,9540 TOWNE CENTRE DRIVE,SUITE 100,92121
92,346,346,LOS ANGELES,CA,11100 SANTA MONICA BLVD,SUITE 800,90025,1464790,"B. Riley Financial, Inc.",LOS ANGELES,CA,11100 SANTA MONICA BLVD,SUITE 800,90025
93,347,347,CAMBRIDGE,MA,ONE KENDALL SQUARE,BUILDING 1400 EAST 4TH FLOOR,02139,1292519,INVIVO THERAPEUTICS HOLDINGS CORP.,CAMBRIDGE,MA,ONE KENDALL SQUARE,BUILDING 1400 EAST 4TH FLOOR,02139
94,350,350,MESA,AZ,1744 S. VAL VISTA DRIVE,STE. 213,85204,1397183,"Iveda Solutions, Inc.",MESA,AZ,1744 S. VAL VISTA DRIVE,STE. 213,85204
95,354,354,CHICAGO,IL,205 N. MICHIGAN AVE.,SUITE 4200,60601,1653384,Runway Growth Finance Corp.,CHICAGO,IL,205 N. MICHIGAN AVE.,SUITE 4200,60601
96,359,359,BOSTON,MA,175 FEDERAL STREET,SUITE 875,02110,1849011,Apeiron Capital Investment Corp.,BOSTON,MA,175 FEDERAL STREET,SUITE 875,02110
97,363,363,NEW YORK,NY,130 WEST 42ND STREET,26TH FLOOR,10036,1636050,Sio Gene Therapies Inc.,NEW YORK,NY,130 WEST 42ND STREET,26TH FLOOR,10036
98,364,364,MENLO PARK,CA,EXPONENT INC,149 COMMONWEALTH DRIVE,94025,851520,EXPONENT INC,MENLO PARK,CA,EXPONENT INC,149 COMMONWEALTH DRIVE,94025
99,365,365,NORWALK,CT,50 WASHINGTON STREET,SUITE 921,06854,1824171,Kairos Acquisition Corp.,NORWALK,CT,50 WASHINGTON STREET,SUITE 921,06854
100,367,367,RICHLAND,WA,"350 HILLS STREET,",SUITE 106,99354,728387,"Isoray, Inc.",RICHLAND,WA,"350 HILLS STREET,",SUITE 106,99354
101,370,370,DENVER,CO,4600 S. SYRACUSE STREET,SUITE 1450,80237,1591670,Farmland Partners Inc.,DENVER,CO,4600 S. SYRACUSE STREET,SUITE 1450,80237
102,371,371,CAMBRIDGE,MA,C/O CAUSEWAY MEDIA PARTNERS,44 BRATTLE STREET,02138,1828914,Athlon Acquisition Corp.,CAMBRIDGE,MA,C/O CAUSEWAY MEDIA PARTNERS,44 BRATTLE STREET,02138
103,372,372,NEW YORK,NY,95 MORTON ST.,8TH FLOOR,10014,1842718,INTEGRAL AD SCIENCE HOLDING CORP.,NEW YORK,NY,95 MORTON ST.,8TH FLOOR,10014
104,375,375,TULSA,OK,6120 S. YALE,SUITE 805,74136,1504461,NGL Energy Partners LP,TULSA,OK,6120 S. YALE,SUITE 805,74136
105,380,380,NEW YORK,NY,280 PARK AVENUE,16TH FLOOR,10017,1626115,PJT Partners Inc.,NEW YORK,NY,280 PARK AVENUE,16TH FLOOR,10017
106,382,382,SAN FRANCISCO,CA,1390 MARKET STREET,SUITE 200,94102,1865191,TG Venture Acquisition Corp.,SAN FRANCISCO,CA,1390 MARKET STREET,SUITE 200,94102
107,385,385,MOUNTAIN VIEW,CA,444 CASTRO STREET,SUITE 400,94041,1583708,"SentinelOne, Inc.",MOUNTAIN VIEW,CA,444 CASTRO STREET,SUITE 400,94041
108,393,393,NEW YORK,NY,3 PARK AVENUE,36TH FLOOR,10016,1534254,CION Investment Corp,NEW YORK,NY,3 PARK AVENUE,36TH FLOOR,10016
110,397,397,NEWARK,CA,7575 GATEWAY BOULEVARD,SUITE 110,94560,1042074,"CymaBay Therapeutics, Inc.",NEWARK,CA,7575 GATEWAY BOULEVARD,SUITE 110,94560
111,399,399,HOUSTON,TX,20475 STATE HIGHWAY 249,SUITE 300,77070,1537028,"Independence Contract Drilling, Inc.",HOUSTON,TX,20475 STATE HIGHWAY 249,SUITE 300,77070
112,408,408,HOUSTON,TX,3505 W SAM HOUSTON NORTH,SUITE 400,77043,866829,HELIX ENERGY SOLUTIONS GROUP INC,HOUSTON,TX,3505 W SAM HOUSTON NORTH,SUITE 400,77043
113,411,411,KATY,TX,24275 KATY FREEWAY,SUITE 600,77494,1524741,"U.S. SILICA HOLDINGS, INC.",KATY,TX,24275 KATY FREEWAY,SUITE 600,77494
114,413,413,NEW YORK,NY,"C/O PELOTON INTERACTIVE, INC.","125 W. 25TH ST., 11TH FLOOR",10001,1639825,"PELOTON INTERACTIVE, INC.",NEW YORK,NY,"C/O PELOTON INTERACTIVE, INC.","125 W. 25TH ST., 11TH FLOOR",10001
115,416,416,AUSTIN,TX,13215 BEE CAVE PARKWAY,SUITE B-300,78738,1497645,"Summit Hotel Properties, Inc.",AUSTIN,TX,13215 BEE CAVE PARKWAY,SUITE B-300,78738
117,423,423,LYNCHBURG,VA,800 MAIN STREET,4TH FLOOR,24504,1486957,"BWX Technologies, Inc.",LYNCHBURG,VA,800 MAIN STREET,4TH FLOOR,24504
118,427,427,TAMPA,FL,1150 ASSEMBLY DR.,SUITE 800,33607,884713,Primo Water Corp /CN/,TAMPA,FL,1150 ASSEMBLY DR.,SUITE 800,33607
119,429,429,CHICAGO,IL,8770 WEST BRYN MAWR AVENUE,SUITE 900,60631,703604,"Distribution Solutions Group, Inc.",CHICAGO,IL,8770 WEST BRYN MAWR AVENUE,SUITE 900,60631
120,430,430,SEATTLE,WA,22722 29TH DR. SE,SUITE 100,98021,949858,"ACHIEVE LIFE SCIENCES, INC.",SEATTLE,WA,22722 29TH DR. SE,SUITE 100,98021
121,432,432,SAN FRANCISCO,CA,1455 MARKET STREET,SUITE 600,94103,1512673,"Block, Inc.",SAN FRANCISCO,CA,1455 MARKET STREET,SUITE 600,94103
122,441,441,LOUISVILLE,CO,168 CENTENNIAL PARKWAY,SUITE 200,80027,1856608,"Sovos Brands, Inc.",LOUISVILLE,CO,168 CENTENNIAL PARKWAY,SUITE 200,80027
123,443,443,ATLANTA,GA,"3344 PEACHTREE ROAD, NE",SUITE 1800,30326,25232,COUSINS PROPERTIES INC,ATLANTA,GA,"3344 PEACHTREE ROAD, NE",SUITE 1800,30326
124,446,446,CHICAGO,IL,222 WEST MERCHANDISE MART PLAZA,PO BOX #2982,60654,1844635,Corazon Capital V838 Monoceros Corp,CHICAGO,IL,222 WEST MERCHANDISE MART PLAZA,PO BOX #2982,60654
125,458,458,BIRMINGHAM,AL,1000 URBAN CENTER DRIVE,SUITE 501,35242,1287865,MEDICAL PROPERTIES TRUST INC,BIRMINGHAM,AL,1000 URBAN CENTER DRIVE,SUITE 501,35242
126,459,459,DOWNERS GROVE,IL,3500 LACEY ROAD,SUITE 700,60515,1354730,Invesco DB G10 Currency Harvest Fund,DOWNERS GROVE,IL,3500 LACEY ROAD,SUITE 700,60515
127,460,460,BROOMFIELD,CO,390 INTERLOCKEN CRESCENT,SUITE 1000,80021,812011,VAIL RESORTS INC,BROOMFIELD,CO,390 INTERLOCKEN CRESCENT,SUITE 1000,80021
128,462,462,HOUSTON,TX,9811 KATY FREEWAY,SUITE 700,77024,1865187,"Aris Water Solutions, Inc.",HOUSTON,TX,9811 KATY FREEWAY,SUITE 700,77024
129,466,466,BEVERLY HILLS,CA,8840 WILSHIRE BLVD,2ND FLOOR,90211,1133869,"CAPRICOR THERAPEUTICS, INC.",BEVERLY HILLS,CA,8840 WILSHIRE BLVD,2ND FLOOR,90211
130,472,472,DALLAS,TX,8840 CYPRESS WATERS BOULEVARD,SUITE 300,75019,1142750,AMN HEALTHCARE SERVICES INC,DALLAS,TX,8840 CYPRESS WATERS BOULEVARD,SUITE 300,75019
131,477,477,MANHASSET,DE,1129 NORTHERN BLVD.,SUITE 404,11030,1858180,Prime Number Acquisition I Corp.,MANHASSET,DE,1129 NORTHERN BLVD.,SUITE 404,11030
132,482,482,ROCKVILLE,MD,9620 MEDICAL CENTER DR,STE 300,20850,895051,"CASI Pharmaceuticals, Inc.",ROCKVILLE,MD,9620 MEDICAL CENTER DR,STE 300,20850
133,483,483,SAN FRANCISCO,CA,FOUR EMBARCADERO CENTER,SUITE 2100,94111,1845618,Bilander Acquisition Corp.,SAN FRANCISCO,CA,FOUR EMBARCADERO CENTER,SUITE 2100,94111
134,484,484,COSTA MESA,CA,3535 HARBOR BOULEVARD,SUITE 100,92626,1606366,"El Pollo Loco Holdings, Inc.",COSTA MESA,CA,3535 HARBOR BOULEVARD,SUITE 100,92626
135,490,490,ATLANTA,GA,"3525 PIEDMONT RD., NE","BUILDING 6, SUITE 700",30305,708818,"NEXTGEN HEALTHCARE, INC.",ATLANTA,GA,"3525 PIEDMONT RD., NE","BUILDING 6, SUITE 700",30305
136,492,492,DENVER,CO,1001 SEVENTEENTH STREET,SUITE 1800,80202,1658566,Permian Resources Corp,DENVER,CO,1001 SEVENTEENTH STREET,SUITE 1800,80202
137,493,493,SOLON,OH,32000 AURORA ROAD,SUITE B,44139,924168,"ENERGY FOCUS, INC/DE",SOLON,OH,32000 AURORA ROAD,SUITE B,44139
138,495,495,SCOTTSDALE,AZ,16767 N PERIMETER DRIVE,SUITE 110,85260,1612630,JOINT Corp,SCOTTSDALE,AZ,16767 N PERIMETER DRIVE,SUITE 110,85260
139,501,501,NEW YORK,NY,300 PARK AVENUE,2ND FLOOR,10022,1017491,"SEELOS THERAPEUTICS, INC.",NEW YORK,NY,300 PARK AVENUE,2ND FLOOR,10022
140,505,505,DENVER,CO,6900 E LAYTON AVE,SUITE 700,80237,1164727,NEWMONT Corp /DE/,DENVER,CO,6900 E LAYTON AVE,SUITE 700,80237
141,506,506,MIAMI BEACH,FL,1111 LINCOLN ROAD,SUITE 802,33139,1870940,"Airsculpt Technologies, Inc.",MIAMI BEACH,FL,1111 LINCOLN ROAD,SUITE 802,33139
142,507,507,BETHESDA,MD,3 BETHESDA METRO CENTER,SUITE 1000,20814,1511337,RLJ Lodging Trust,BETHESDA,MD,3 BETHESDA METRO CENTER,SUITE 1000,20814
143,508,508,NEW YORK,NY,1120 AVENUE OF THE AMERICAS,4TH FLOOR,10036,1314196,"OLB GROUP, INC.",NEW YORK,NY,1120 AVENUE OF THE AMERICAS,4TH FLOOR,10036
144,514,514,HENDERSON,NV,2850 W. HORIZON RIDGE PARKWAY,SUITE 200,89052,1850271,Social Capital Suvretta Holdings Corp. II,HENDERSON,NV,2850 W. HORIZON RIDGE PARKWAY,SUITE 200,89052
147,525,525,LAS VEGAS,NV,3993 HOWARD HUGHES PARKWAY,SUITE 500,89169,1635282,"Rimini Street, Inc.",LAS VEGAS,NV,3993 HOWARD HUGHES PARKWAY,SUITE 500,89169
148,527,527,BERWYN,PA,1000 CHESTERBROOK BOULEVARD,SUITE 250,19312,1337619,"ENVESTNET, INC.",BERWYN,PA,1000 CHESTERBROOK BOULEVARD,SUITE 250,19312
