,business_city,business_state,business_street1,business_street2,business_zip,cik,firm_name,mailing_city,mailing_state,mailing_street1,mailing_street2,mailing_zip
10,BOGOTA,F8,CALLE 94 NO. 11-30 8 PISO,,00000,0001464591,GeoPark Ltd,BOGOTA,F8,CALLE 94 NO. 11-30 8 PISO,,00000
11,FORT MYERS,FL,9490 NEOGENOMICS WAY,,33912,0001077183,NEOGENOMICS INC,FORT MYERS,FL,9490 NEOGENOMICS WAY,,33912
12,GREAT FALLS,NY,9912 GEORGETOWN PIKE SUITE D203,,22066,0001815753,Thunder Bridge Capital Partners III Inc.,GREAT FALLS,NY,9912 GEORGETOWN PIKE SUITE D203,,22066
13,BROOKLYN,NY,276 GREENPOINT AVE. BLD 8 SUITE 208,,11222,0001435064,CEMTREX INC,BROOKLYN,NY,276 GREENPOINT AVE. BLD 8 SUITE 208,,11222
14,NEW YORK,NY,120 BROADWAY,32ND FLOOR,10271,0001438656,Industria de Diseno Textil Inditex SA / ADR,NEW YORK,NY,120 BROADWAY,32ND FLOOR,10271
15,SAN JOSE,CA,150 ALMADEN BLVD.,SUITE 1250,95113,0001495584,"Firsthand Technology Value Fund, Inc.",SAN JOSE,CA,150 ALMADEN BLVD.,SUITE 1250,95113
16,MONTEVIDEO,X3,"DR. LUIS BONAVITA 1294, OFFICE 501",WTC FREE ZONE,11300,0001508478,Arcos Dorados Holdings Inc.,MONTEVIDEO,X3,"DR. LUIS BONAVITA 1294, OFFICE 501",WTC FREE ZONE,11300
17,SHANGHAI,F4,1958 QIANMING EAST ROAD,FENGJINGZHEN JINSHANQU,201500,0001629665,"MULIANG VIAGOO TECHNOLOGY, INC.",SHANGHAI,F4,1958 QIANMING EAST ROAD,FENGJINGZHEN JINSHANQU,201500
18,HARTLAND,WI,1050 WALNUT RIDGE DRIVE,,53209,0001836176,Fathom Digital Manufacturing Corp,HARTLAND,WI,1050 WALNUT RIDGE DRIVE,,53209
19,NEW YORK,NY,"APOLLO REAL ESTATE FUND ADVISER, LLC",9 W 57TH ST,10019,0001597634,Apollo Diversified Real Estate Fund,NEW YORK,NY,"APOLLO REAL ESTATE FUND ADVISER, LLC",9 W 57TH ST,10019
20,THE HAGUE,P7,AEGONPLEIN 50,PO BOX 85,2501 CB,0000769218,AEGON NV,THE HAGUE,P7,AEGONPLEIN 50,PO BOX 85,2501 CB
21,TORONTO,A6,20 ADELAIDE STREET EAST,,M5C 2T6,0001336835,Forsys Metals Corp,TORONTO,A6,20 ADELAIDE STREET EAST,,M5C 2T6
22,ARLINGTON,TX,1341 HORTON CIRCLE,,76011,0000882184,HORTON D R INC /DE/,ARLINGTON,TX,1341 HORTON CIRCLE,,76011
23,TYSONS,VA,8281 GREENSBORO DRIVE,SUITE 100,22102,0001459200,"Alarm.com Holdings, Inc.",TYSONS,VA,8281 GREENSBORO DRIVE,SUITE 100,22102
24,CAMBRIDGE,MA,45 SIDNEY STREET,,02139,0001597264,Blueprint Medicines Corp,CAMBRIDGE,MA,45 SIDNEY STREET,,02139
25,NEW YORK,NY,712 FIFTH AVENUE,49TH FLOOR,10019,0001450922,abrdn Silver ETF Trust,NEW YORK,NY,712 FIFTH AVENUE,49TH FLOOR,10019
26,MIAMI,FL,80 SW 8TH STREET,SUITE 2000,33130,0001608092,Kisses From Italy Inc.,MIAMI,FL,80 SW 8TH STREET,SUITE 2000,33130
27,WILMINGTON,DE,1013 CENTER ROAD,SUITE 403-B,19805,0001862681,WODA Corp,WILMINGTON,DE,1013 CENTER ROAD,SUITE 403-B,19805
28,CAMPBELL,CA,675 CREEKSIDE WAY,,95008,0001023731,8X8 INC /DE/,CAMPBELL,CA,675 CREEKSIDE WAY,,95008
29,SAN DIEGO,CA,2468 HISTORIC DECATUR ROAD,,92106,0001836875,Nuvve Holding Corp.,SAN DIEGO,CA,2468 HISTORIC DECATUR ROAD,,92106
30,LUXEMBOURG,N4,"63-65, RUE DE MERL",,L-2146,0001821349,NeoGames S.A.,LUXEMBOURG,N4,"63-65, RUE DE MERL",,L-2146
31,NEW YORK,NY,"100 CROSBY STREET, SUITE 201",,10012,0001841948,Lerer Hippeau Acquisition Corp.,NEW YORK,NY,"100 CROSBY STREET, SUITE 201",,10012
32,CAMBRIDGE,MA,225 BINNEY STREET,,02142,0000875045,BIOGEN INC.,CAMBRIDGE,MA,225 BINNEY STREET,,02142
33,NORCROSS,GA,6250 BROOK HOLLOW PARKWAY,,30071,0001800044,"White Cap Supply Holdings, Inc.",NORCROSS,GA,6250 BROOK HOLLOW PARKWAY,,30071
34,MC,O9,"9, BOULEVARD CHARLES III",,98000,0001587264,ENETI INC.,MC,O9,"9, BOULEVARD CHARLES III",,98000
35,FORT LAUDERDALE,FL,"C/O AKERMAN LLP, LAS OLAS CENTER II","350 EAST LAS OLAS BOULEVARD, SUITE 1600",33301,0001785494,Woodbridge Liquidation Trust,FORT LAUDERDALE,FL,"C/O AKERMAN LLP, LAS OLAS CENTER II","350 EAST LAS OLAS BOULEVARD, SUITE 1600",33301
36,TULSA,OK,1717 SOUTH BOULDER AVENUE,,74119,0001086600,ALLIANCE RESOURCE PARTNERS LP,,,,,
37,WILMINGTON,DE,100 BELLEVUE PARKWAY,,19809-3700,0001562818,BlackRock Multi-Sector Income Trust,WILMINGTON,DE,100 BELLEVUE PARKWAY,,19809-3700
38,NEW YORK,NY,120 BROADWAY,32ND FLOOR,10271,0001447137,Berkeley Group Holdings plc,NEW YORK,NY,120 BROADWAY,32ND FLOOR,10271
39,HOUSTON,TX,2000 W SAM HOUSTON PARKWAY S,SUITE 2000,77042,0000928022,Callon Petroleum Co,HOUSTON,TX,2000 W SAM HOUSTON PARKWAY S,SUITE 2000,77042
40,NEW YORK,NY,675 AVENUE OF THE AMERICAS,6TH FLOOR,10010,0000105319,"WW INTERNATIONAL, INC.",NEW YORK,NY,675 AVENUE OF THE AMERICAS,6TH FLOOR,10010
41,GRAND CAYMAN,E9,MAPLES CORPORATE SERVICES LIMITED,"PO BOX 309, UGLAND HOUSE",KY1-1104,0001854863,Blue Whale Acquisition Corp I,GRAND CAYMAN,E9,MAPLES CORPORATE SERVICES LIMITED,"PO BOX 309, UGLAND HOUSE",KY1-1104
42,COVINGTON,LA,109 NORTHPARK BLVD,4TH FLOOR,70433-5001,0000945841,POOL CORP,COVINGTON,LA,109 NORTHPARK BLVD,4TH FLOOR,70433-5001
43,LA JOLLA,CA,1250 PROSPECT STREET,SUITE 200,92037,0001825473,Prospector Capital Corp.,LA JOLLA,CA,1250 PROSPECT STREET,SUITE 200,92037
44,CORAL GABLES,FL,"2333 PONCE DE LEON BOULEVARD, SUITE 900",,33134,0001794905,"Cyxtera Technologies, Inc.",CORAL GABLES,FL,"2333 PONCE DE LEON BOULEVARD, SUITE 900",,33134
45,NEW YORK,NY,236 FIFTH AVENUE,SUITE 400,10001,0000948320,"LifeMD, Inc.",NEW YORK,NY,236 FIFTH AVENUE,SUITE 400,10001
46,CALGARY,A0,207 - 9TH AVENUE S.W.,SUITE 200,T2P 1K3,0001334388,OBSIDIAN ENERGY LTD.,CALGARY,A0,207 - 9TH AVENUE S.W.,SUITE 200,T2P 1K3
47,SAO PAULO SP BRAZIL,D5,1400 RUA HUNGRIA 5TH FLOOR,JARDIM EUROPA 01455 000,00000,0001122491,BRF S.A.,BRAZIL,D5,8501 AV. DAS NACOES UNIDAS 1ST FLOOR,PINHEIROS 05425 070 SAO PAULO SP,00000
48,HAVERTOWN,PA,850 WEST CHESTER PIKE,SUITE 205,19083,0000006207,AMREP CORP.,HAVERTOWN,PA,850 WEST CHESTER PIKE,SUITE 205,19083
49,"DALIAN CITY, LIAONING PROVINCE",F4,"RM 608, BLOCK B, TIMES SQUARE","NO. 50 PEOPLE ROAD, ZHONGSHAN DISTRICT",116001,0001528308,"IONIX TECHNOLOGY, INC.","DALIAN CITY, LIAONING PROVINCE",F4,"RM 608, BLOCK B, TIMES SQUARE","NO. 50 PEOPLE ROAD, ZHONGSHAN DISTRICT",116001
50,SEATTLE,WA,220 OCCIDENTAL AVENUE SOUTH,,98104,0000106535,WEYERHAEUSER CO,SEATTLE,WA,220 OCCIDENTAL AVENUE SOUTH,,98104
51,VANCOUVER,A1,200 GRANVILLE STREET,SUITE 2710,V6C 1S4,0001134115,INTERNATIONAL TOWER HILL MINES LTD,VANCOUVER,A1,200 GRANVILLE STREET,SUITE 2710,V6C 1S4
52,CALGARY,A0,31 STRANRAER PLACE SW,,T3H 1H5,0001652452,CMX GOLD & SILVER CORP.,CALGARY,A0,31 STRANRAER PLACE SW,,T3H 1H5
53,MICHIGAN CITY,IN,515 FRANKLIN STREET,,46360,0000706129,HORIZON BANCORP INC /IN/,MICHIGAN CITY,IN,515 FRANKLIN STREET,,46360
54,DALLAS,TX,8214 WESTCHESTER DRIVE,SUITE 400,75225,0001501570,"Veritex Holdings, Inc.",DALLAS,TX,8214 WESTCHESTER DRIVE,SUITE 400,75225
55,THE WOODLANDS,TX,10003 WOODLOCH FOREST DRIVE,,77380,0001307954,Huntsman CORP,THE WOODLANDS,TX,10003 WOODLOCH FOREST DRIVE,,77380
56,ARLINGTON,TX,2221 E. LAMAR BLVD.,SUITE 790,76006,0001406587,Forestar Group Inc.,ARLINGTON,TX,2221 E. LAMAR BLVD.,SUITE 790,76006
57,FOLSOM,NJ,1 SOUTH JERSEY PLAZA,ROUTE 54,08037,0000091928,SOUTH JERSEY INDUSTRIES INC,FOLSOM,NJ,1 SOUTH JERSEY PLAZA,ROUTE 54,08037
58,SOUTH SAN FRANCISCO,CA,151 OYSTER POINT BLVD.,SUITE 400,94080,0001501989,"CytomX Therapeutics, Inc.",SOUTH SAN FRANCISCO,CA,151 OYSTER POINT BLVD.,SUITE 400,94080
59,MONACO,O9,"23, RUE BASSE",,98000,0001578453,Dynagas LNG Partners LP,MONACO,O9,"23, RUE BASSE",,98000
60,ATLANTA,GA,"1555 PEACHTREE STREET, N.E.",SUITE 1800,30309,0000005094,Invesco Bond Fund,ATLANTA,GA,"1555 PEACHTREE STREET, N.E.",SUITE 1800,30309
61,ROUND ROCK,TX,"900 E. OLD SETTLERS BOULEVARD, SUITE 100",,78664,0001086745,"AYRO, Inc.",ROUND ROCK,TX,"900 E. OLD SETTLERS BOULEVARD, SUITE 100",,78664
62,NEW YORK,NY,35TH STREET WEST 35TH,FLOOR 6,10001,0001822359,DocGo Inc.,NEW YORK,NY,35TH STREET WEST 35TH,FLOOR 6,10001
63,BEIJING,F4,"ROOM 601, 1 SHUI'AN SOUTH STREET",CHAOYANG DISTRICT,100012,0001442620,"Recon Technology, Ltd",BEIJING,F4,"ROOM 601, 1 SHUI'AN SOUTH STREET",CHAOYANG DISTRICT,100012
64,VAN NUYS,CA,16139 WYANDOTTE ST.,,91406,0000732026,TRIO-TECH INTERNATIONAL,VAN NUYS,CA,16139 WYANDOTTE ST.,,91406
65,MOLINE,IL,3551 7TH STREET,,61265,0000906465,QCR HOLDINGS INC,MOLINE,IL,3551 7TH STREET,,61265
66,CALGARY ALBERTA T2C 1N6 CAN,A0,7303 30 ST S E,,T2C 1N6,0001340476,DIRTT ENVIRONMENTAL SOLUTIONS LTD,CALGARY ALBERTA T2C 1N6 CAN,A0,7303 30 ST S E,,T2C 1N6
67,WARREN,MI,12755 EAST NINE MILE ROAD,,48089,0001308208,"UNIVERSAL LOGISTICS HOLDINGS, INC.",WARREN,MI,12755 EAST NINE MILE ROAD,,48089
68,DENVER,CO,700 COLORADO BLVD,#273,80206-4084,0000775057,ALTEX INDUSTRIES INC,DENVER,CO,700 COLORADO BLVD,#273,80206-4084
69,LEBEC,CA,4436 LEBEC ROAD,PO BOX 1000,93243,0000096869,TEJON RANCH CO,LEBEC,CA,4436 LEBEC RD,PO BOX 1000,93243
70,LAS VEGAS,NV,"1980 FESTIVAL PLAZA DRIVE, SUITE 300",,89135,0001822027,Tekkorp Digital Acquisition Corp.,LAS VEGAS,NV,"1980 FESTIVAL PLAZA DRIVE, SUITE 300",,89135
71,BEVERLY HILLS,CA,9348 CIVIC CENTER DRIVE,,90210,0001335258,"Live Nation Entertainment, Inc.",BEVERLY HILLS,CA,9348 CIVIC CENTER DRIVE,,90210
72,WHEATON,IL,"120 EAST LIBERTY DRIVE, SUITE 400",,60187,0001363438,FIRST TRUST/ABRDN EMERGING OPPORTUNITY FUND,WHEATON,IL,"120 EAST LIBERTY DRIVE, SUITE 400",,60187
73,OLDSMAR,FL,700 BROOKER CREEK BLVD,SUITE 1800,34677,0000862692,CRYO CELL INTERNATIONAL INC,OLDSMAR,FL,700 BROOKER CREEK BLVD,SUITE 1800,34677
74,KYOTO,M0,SHIOKOJI HORIKAWA,SHIMOGYO-KU,600-8530,0000800954,OMRON CORP /FI,KYOTO,M0,SHIOKOJI HORIKAWA,SHIMOGYO-KU,600-8530
75,CLAYTON,MO,OLIN CORPORATION,190 CARONDELET PLAZA SUITE 1530,63105,0000074303,OLIN Corp,CLAYTON,MO,OLIN CORPORATION,190 CARONDELET PLAZA SUITE 1530,63105
76,CHEYENNE,WY,1876 HORSE CREEK RD,,82009,0001099234,"InCapta, Inc.",CHEYENNE,WY,1876 HORSE CREEK RD,,82009
77,SINGAPORE,U0,11 BEACH ROAD #06-01,,189675,0001485029,"New Asia Holdings, Inc.",SINGAPORE,U0,11 BEACH ROAD #06-01,,189675
78,CARSON CITY,NV,680 W NYE LANE,SUITE 201,89703,0001580149,BIOVIE INC.,CARSON CITY,NV,680 W NYE LANE,SUITE 201,89703
79,BEIJING,F4,"ROOM 513, 5TH FLOOR, NO. 5 HAIYING ROAD",FENGTAI DISTRICT,100070,0001639327,"Gushen, Inc",BEIJING,F4,"ROOM 513, 5TH FLOOR, NO. 5 HAIYING ROAD",FENGTAI DISTRICT,100070
80,AKRON,OH,"1200 E. MARKET STREET, SUITE 650",,44305,0001630805,"Babcock & Wilcox Enterprises, Inc.",AKRON,OH,"1200 E. MARKET STREET, SUITE 650",,44305
81,NASHVILLE,TN,102 WOODMONT BLVD,SUITE 610,37215,0001360214,"HARROW HEALTH, INC.",NASHVILLE,TN,102 WOODMONT BLVD,SUITE 610,37215
82,BEIJING 100088 PRC C,F5,NO 40 XUEYUAN NANLU,HAIDIAN DISTRICT,,0000929058,HUANENG POWER INTERNATIONAL INC,,,,,
83,UTRECHT,P7,YALELAAN 60,,3584 CM,0001840748,LAVA Therapeutics NV,UTRECHT,P7,YALELAAN 60,,3584 CM
84,NEW YORK,NY,1290 AVENUE OF THE AMERICAS,,10104,0001178840,NEUBERGER BERMAN CALIFORNIA MUNICIPAL FUND INC.,NEW YORK,NY,1290 AVENUE OF THE AMERICAS,,10104
85,LOS ANGELES,CA,11755 WILSHIRE BLVD.,SUITE 2320,90025,0001847577,Learn CW Investment Corp,LOS ANGELES,CA,11755 WILSHIRE BLVD.,SUITE 2320,90025
86,NEW YORK,NY,590 MADISON AVENUE,33RD FLOOR,10022,0001717547,"BrightSpire Capital, Inc.",NEW YORK,NY,590 MADISON AVENUE,33RD FLOOR,10022
87,CHARLOTTE,NC,5605 CARNEGIE BOULEVARD,SUITE 500,28209,0001164863,"ENPRO INDUSTRIES, INC",CHARLOTTE,NC,5605 CARNEGIE BOULEVARD,SUITE 500,28209
88,SCOTTSDALE,AZ,SABA CAPITAL INCOME & OPPORTUNITIES FUND,"7337 E. DOUBLETREE RANCH ROAD, STE 100",85258,0000826020,Saba Capital Income & Opportunities Fund,SCOTTSDALE,AZ,SABA CAPITAL INCOME & OPPORTUNITIES FUND,"7337 E. DOUBLETREE RANCH ROAD, STE 100",85258
89,SHANGHAI,F4,"8F, NEW BUND ORIENTAL PLAZA II","556 WEST HAIYANG ROAD, PUDONG",200127,0001725123,Cango Inc.,SHANGHAI,F4,"8F, NEW BUND ORIENTAL PLAZA II","556 WEST HAIYANG ROAD, PUDONG",200127
90,ALEXANDRIA,VA,5911 KINGSTOWNE VILLAGE PARKWAY,6TH FLOOR,22315,0001289945,"Spok Holdings, Inc",ALEXANDRIA,VA,5911 KINGSTOWNE VILLAGE PARKWAY,6TH FLOOR,22315
91,ROCKAWAY,NJ,200 FORGE WAY,SUITE 205,07866,0001560258,"electroCore, Inc.",ROCKAWAY,NJ,200 FORGE WAY,SUITE 205,07866
92,FORT WORTH,TX,425 HOUSTON STREET,,76102,0001853021,Metals Acquisition Corp,FORT WORTH,TX,425 HOUSTON STREET,,76102
93,VAN NUYS,CA,16525 SHERMAN WAY,SUITE C,91406,0001144169,"ECO INNOVATION GROUP, INC.",VAN NUYS,CA,16525 SHERMAN WAY,SUITE C,91406
94,HAGATNA,GU,111 CHALAN SANTO PAPA,10TH FLOOR - HEADQUARTERS BUILDING,96932,0001527383,BankGuam Holding Co,HAGATNA,GU,111 CHALAN SANTO PAPA,10TH FLOOR - HEADQUARTERS BUILDING,96932
95,NEW HAMPTON,NY,52 SUNRISE PARK ROAD,,10958,0000009326,BALCHEM CORP,NEW HAMPTON,NY,52 SUNRISE PARK ROAD,,10958
96,NEW YORK,NY,111 WEST 33RD STREET,SUITE 1910,10120,0001823323,KL Acquisition Corp,NEW YORK,NY,111 WEST 33RD STREET,SUITE 1910,10120
97,CHICAGO,IL,325 WEST HURON STREET,SUITE 700,60654,0001795139,Green Thumb Industries Inc.,CHICAGO,IL,325 WEST HURON STREET,SUITE 700,60654
98,BOCA RATON,FL,621 NW 53RD ST,SUITE 260,33487,0001801602,"SpringBig Holdings, Inc.",BOCA RATON,FL,621 NW 53RD ST,SUITE 260,33487
99,TOKYO,M0,"WORLD TRADE CENTER BLDG., SOUTH TOWER","2-4-1 HAMAMATSU-CHO, MINATO-KU",105 5135,0001070304,ORIX CORP,TOKYO,M0,"WORLD TRADE CENTER BLDG., SOUTH TOWER","2-4-1 HAMAMATSU-CHO, MINATO-KU",105 5135
100,NEW YORK,NY,55 EAST 52ND STREET,,10055,0001364742,BlackRock Inc.,NEW YORK,NY,55 EAST 52ND STREET,,10055
101,WALNUT CREEK,CA,1850 MT. DIABLO BLVD.,SUITE 640,94596,0001396878,"United States Gasoline Fund, LP",WALNUT CREEK,CA,1850 MT. DIABLO BLVD.,SUITE 640,94596
102,ST. PETERSBURG,FL,"200 CENTRAL AVENUE, 15TH FLOOR",,33701,0001879560,Dynasty Financial Partners Inc.,ST. PETERSBURG,FL,"200 CENTRAL AVENUE, 15TH FLOOR",,33701
103,HAMILTON,D0,69 PITTS BAY ROAD,,HM08,0001577437,Ardmore Shipping Corp,HAMILTON,D0,69 PITTS BAY ROAD,,HM08
104,PHILADELPHIA,PA,701 MARKET STREET,SUITE 300,19106,0001177609,"FIVE BELOW, INC",PHILADELPHIA,PA,701 MARKET STREET,SUITE 300,19106
105,NEW YORK,NY,"322 WEST 52ND STREET, #2322",,10019-9998,0001833909,African Gold Acquisition Corp,NEW YORK,NY,"322 WEST 52ND STREET, #2322",,10019-9998
106,PLANO,TX,7100 CORPORATE DRIVE,,75024,0001673358,"Yum China Holdings, Inc.",PLANO,TX,7100 CORPORATE DRIVE,,75024
107,NEW YORK,NY,"515 MADISON AVE., SUITE 8133",,10022,0001846809,OceanTech Acquisitions I Corp.,NEW YORK,NY,"515 MADISON AVE., SUITE 8133",,10022
108,VANCOUVER,A1,1805-925 WEST GEORGIA STREET,,V6C 3L2,0001641229,First Mining Gold Corp.,VANCOUVER,A1,1805-925 WEST GEORGIA STREET,,V6C 3L2
109,SAN JOSE,CA,1550 LEIGH AVENUE,,95125,0001876945,TPCO Holding Corp.,SAN JOSE,CA,1550 LEIGH AVENUE,,95125
110,"NOVA LIMA, MINAS GERAIS",D5,"ALAMEDA OSCAR NIEMEYER, NO 119",SALA 504 VILA DA SERRA,00000,0001771007,Afya Ltd,"NOVA LIMA, MINAS GERAIS",D5,"ALAMEDA OSCAR NIEMEYER, NO 119",SALA 504 VILA DA SERRA,00000
111,YORK,PA,130 E MARKET ST,,17401-1219,0000108985,YORK WATER CO,YORK,PA,130 EAST MARKET STREET,,17401-1219
112,WESTMINSTER,CO,3051 W 105TH AVENUE,UNIT 350251,80031,0001017110,GENETHERA INC,WESTMINSTER,CO,3051 W 105TH AVENUE,UNIT 350251,80031
113,NEW YORK,NY,667 MADISON AVE,,10065-8087,0000060086,LOEWS CORP,NEW YORK,NY,667 MADISON AVE,,10065-8087
114,OGDEN,UT,3350 AIRPORT RD,,84405,0001034670,AUTOLIV INC,SWEDEN,V7,BOX 70381,SE 107 24 STOCKHOLM,
115,FINDLAY,OH,200 E. HARDIN STREET,,45840,0001552000,MPLX LP,FINDLAY,OH,200 E. HARDIN STREET,,45840
116,CHATTANOOGA,TN,1725 SHEPHERD ROAD,,37421,0000792987,ASTEC INDUSTRIES INC,CHATTANOOGA,TN,1725 SHEPHERD ROAD,,37421
117,NEWPORT BEACH,CA,2901 PACIFIC COAST HIGHWAY,SUITE 200,92663,0001443089,"WEARABLE HEALTH SOLUTIONS, INC.",NEWPORT BEACH,CA,2901 PACIFIC COAST HIGHWAY,SUITE 200,92663
118,WOODLAND HILLS,CA,6303 OWENSMOUTH AVE,FLOOR 10 SUITE 1058,91367,0001301838,"Premier Product Group, Inc.",WOODLAND HILLS,CA,6303 OWENSMOUTH AVE,FLOOR 10 SUITE 1058,91367
119,HOUSTON,TX,1800 WEST LOOP SOUTH,SUITE 1500,77027,0001423221,Quanex Building Products CORP,HOUSTON,TX,1800 WEST LOOP SOUTH,SUITE 1500,77027
120,SCOTTSDALE,AZ,7740 E EVANS RD,,85260,0001277575,SAXON CAPITAL GROUP INC,SCOTTSDALE,AZ,7740 E EVANS RD,,85260
121,SAN DIEGO,CA,"4995 MURPHY CANYON ROAD, SUITE 300",,92123,0001896212,Murphy Canyon Acquisition Corp.,SAN DIEGO,CA,"4995 MURPHY CANYON ROAD, SUITE 300",,92123
122,SAN FRANCISCO,CA,BLACKROCK INC.,400 HOWARD STREET,94105,0001278680,ISHARES GOLD TRUST,SAN FRANCISCO,CA,BLACKROCK INC.,400 HOWARD STREET,94105
123,PORTLAND,OR,16760 SW UPPER BOONES FERRY RD.,SUITE 101,97224,0001040161,"PIXELWORKS, INC",PORTLAND,OR,16760 SW UPPER BOONES FERRY RD.,SUITE 101,97224
124,TAMPA,FL,12610 RACE TRACK ROAD,SUITE 250,33626,0001840877,Anzu Special Acquisition Corp I,TAMPA,FL,12610 RACE TRACK ROAD,SUITE 250,33626
125,BETHLEHEM,PA,220 E FIRST ST,,18015,0001116463,ORASURE TECHNOLOGIES INC,BETHLEHEM,PA,220 E FIRST ST,,18015
126,MINNEAPOLIS,MN,10237 YELLOW CIRCLE DRIVE,,55343,0000934543,AMERICAN CHURCH MORTGAGE CO,MINNEAPOLIS,MN,10237 YELLOW CIRCLE DR,,55343
127,AUSTIN,TX,1501 S. MOPAC EXPRESSWAY,SUITE #450,78746,0001806201,Open Lending Corp,AUSTIN,TX,1501 S. MOPAC EXPRESSWAY,SUITE #450,78746
128,SEATTLE,WA,500 UNION STREET,SUITE 810,98101,0001074828,"KNOW LABS, INC.",SEATTLE,WA,500 UNION STREET,SUITE 810,98101
129,LAS VEGAS,NV,3651 LINDELL ROAD,SUITE D517,89103,0001389518,"Clubhouse Media Group, Inc.",LAS VEGAS,NV,3651 LINDELL ROAD,SUITE D517,89103
130,"NANJING, JIANGSU PROVINCE",F4,EVER-GLORY COMMERCIAL CENTER,509 CHENGXIN RD JIANGNING DEVELOPMT ZONE,000000,0000943184,"Ever-Glory International Group, Inc.","NANJING, JIANGSU PROVINCE",F4,EVER-GLORY COMMERCIAL CENTER,509 CHENGXIN RD JIANGNING DEVELOPMT ZONE,00000
131,SAN DIEGO,CA,"3131 CAMINO DEL RIO NORTH, SUITE 1400",,92108,0001419275,RYVYL Inc.,SAN DIEGO,CA,"3131 CAMINO DEL RIO NORTH, SUITE 1400",,92108
132,BEDFORD,MA,8 CROSBY DRIVE,,01730,0001159167,IROBOT CORP,BEDFORD,MA,8 CROSBY DRIVE,,01730
133,HERNDON,VA,"13880 DULLES CORNER LANE, SUITE 175",,20171,0001737372,"Sysorex, Inc.",HERNDON,VA,"13880 DULLES CORNER LANE, SUITE 175",,20171
134,JACKSONVILLE,FL,347 RIVERSIDE AVENUE,,32202,0001136893,"Fidelity National Information Services, Inc.",JACKSONVILLE,FL,347 RIVERSIDE AVENUE,,32202
135,DOWNERS GROVE,IL,3005 HIGHLAND PARKWAY,SUITE 200,60515,0000029905,DOVER Corp,DOWNERS GROVE,IL,3005 HIGHLAND PARKWAY,SUITE 200,60515
136,PALO ALTO,CA,260 SHERIDAN AVENUE,SUITE 400,94306,0001796129,"Vincerx Pharma, Inc.",PALO ALTO,CA,260 SHERIDAN AVENUE,SUITE 400,94306
137,LOS ANGELES,CA,550 SOUTH HOPE STREET,SUITE 2850,90071,0000727273,CADIZ INC,LOS ANGELES,CA,550 SOUTH HOPE STREET,SUITE 2850,90071
138,FAIRFIELD,CT,135 RENNELL DRIVE,3RD FLOOR,06890,0001844971,Greenidge Generation Holdings Inc.,FAIRFIELD,CT,135 RENNELL DRIVE,3RD FLOOR,06890
139,LAS CONDES SANTIAGO,F3,ROSARIO NORTE 660,,00000,0001276671,CORPBANCA/FI,LAS CONDES SANTIAGO,F3,ROSARIO NORTE 660,,00000
140,GLENDALE,CA,450 N BRAND BLVD 3RD FLR,,91203-1903,0000049754,"Dine Brands Global, Inc.",GLENDALE,CA,"450 N. BRAND BLVD, 7TH FLOOR",,91203
141,LONDON,X0,3 MORE LONDON RIVERSIDE,,SE1 2RE,0001657312,Verona Pharma plc,LONDON,X0,3 MORE LONDON RIVERSIDE,,SE1 2RE
